time 1685445126 126041, type 3, code 0, value 26154
time 1685445126 126041, type 3, code 1, value 38644
time 1685445126 126041, type 0, code 0, value 0
time 1685445126 133939, type 3, code 0, value 23116
time 1685445126 133939, type 3, code 1, value 38090
time 1685445126 133939, type 0, code 0, value 0
time 1685445126 141693, type 3, code 0, value 21682
time 1685445126 141693, type 3, code 1, value 37812
time 1685445126 141693, type 0, code 0, value 0
time 1685445126 151505, type 3, code 0, value 20488
time 1685445126 151505, type 3, code 1, value 37673
time 1685445126 151505, type 0, code 0, value 0
time 1685445126 158919, type 3, code 0, value 20351
time 1685445126 158919, type 0, code 0, value 0
time 1685445126 175798, type 3, code 0, value 20624
time 1685445126 175798, type 0, code 0, value 0
time 1685445126 183783, type 3, code 0, value 22331
time 1685445126 183783, type 0, code 0, value 0
time 1685445126 191808, type 3, code 0, value 25096
time 1685445126 191808, type 0, code 0, value 0
time 1685445126 199955, type 3, code 0, value 29840
time 1685445126 199955, type 3, code 1, value 38367
time 1685445126 199955, type 0, code 0, value 0
time 1685445126 208042, type 3, code 0, value 34346
time 1685445126 208042, type 3, code 1, value 38783
time 1685445126 208042, type 0, code 0, value 0
time 1685445126 216433, type 3, code 0, value 39773
time 1685445126 216433, type 3, code 1, value 38991
time 1685445126 216433, type 0, code 0, value 0
time 1685445126 223735, type 3, code 0, value 45405
time 1685445126 223735, type 3, code 1, value 39407
time 1685445126 223735, type 0, code 0, value 0
time 1685445126 232263, type 3, code 0, value 51173
time 1685445126 232263, type 3, code 1, value 40170
time 1685445126 232263, type 0, code 0, value 0
time 1685445126 240115, type 3, code 0, value 56395
time 1685445126 240115, type 3, code 1, value 40586
time 1685445126 240115, type 0, code 0, value 0
time 1685445126 248762, type 3, code 0, value 61242
time 1685445126 248762, type 3, code 1, value 41002
time 1685445126 248762, type 0, code 0, value 0
time 1685445126 257515, type 3, code 0, value 64929
time 1685445126 257515, type 3, code 1, value 41557
time 1685445126 257515, type 0, code 0, value 0
time 1685445126 263841, type 3, code 0, value 65509
time 1685445126 263841, type 3, code 1, value 42042
time 1685445126 263841, type 0, code 0, value 0
time 1685445126 271890, type 3, code 1, value 42251
time 1685445126 271890, type 0, code 0, value 0
time 1685445126 279804, type 3, code 1, value 42389
time 1685445126 279804, type 0, code 0, value 0
time 1685445126 287843, type 3, code 1, value 42459
time 1685445126 287843, type 0, code 0, value 0
time 1685445126 295458, type 3, code 0, value 65168
time 1685445126 295458, type 3, code 1, value 42528
time 1685445126 295458, type 0, code 0, value 0
time 1685445126 303831, type 3, code 0, value 64519
time 1685445126 303831, type 3, code 1, value 42736
time 1685445126 303831, type 0, code 0, value 0
time 1685445126 312080, type 3, code 0, value 61993
time 1685445126 312080, type 0, code 0, value 0
time 1685445126 320107, type 3, code 0, value 59467
time 1685445126 320107, type 0, code 0, value 0
time 1685445126 327891, type 3, code 0, value 55849
time 1685445126 327891, type 3, code 1, value 42251
time 1685445126 327891, type 0, code 0, value 0
time 1685445126 338485, type 3, code 0, value 51788
time 1685445126 338485, type 3, code 1, value 41488
time 1685445126 338485, type 0, code 0, value 0
time 1685445126 343896, type 3, code 0, value 47828
time 1685445126 343896, type 3, code 1, value 40725
time 1685445126 343896, type 0, code 0, value 0
time 1685445126 351610, type 3, code 0, value 43288
time 1685445126 351610, type 3, code 1, value 39546
time 1685445126 351610, type 0, code 0, value 0
time 1685445126 359598, type 3, code 0, value 39227
time 1685445126 359598, type 3, code 1, value 38575
time 1685445126 359598, type 0, code 0, value 0
time 1685445126 368505, type 3, code 0, value 34892
time 1685445126 368505, type 3, code 1, value 37396
time 1685445126 368505, type 0, code 0, value 0
time 1685445126 375853, type 3, code 0, value 31035
time 1685445126 375853, type 3, code 1, value 36425
time 1685445126 375853, type 0, code 0, value 0
time 1685445126 385129, type 3, code 0, value 27997
time 1685445126 385129, type 3, code 1, value 35732
time 1685445126 385129, type 0, code 0, value 0
time 1685445126 392566, type 3, code 0, value 25744
time 1685445126 392566, type 3, code 1, value 35177
time 1685445126 392566, type 0, code 0, value 0
time 1685445126 399874, type 3, code 0, value 24584
time 1685445126 399874, type 3, code 1, value 35108
time 1685445126 399874, type 0, code 0, value 0
time 1685445126 407446, type 3, code 0, value 24276
time 1685445126 407446, type 3, code 1, value 34969
time 1685445126 407446, type 0, code 0, value 0
time 1685445126 423764, type 3, code 0, value 24379
time 1685445126 423764, type 0, code 0, value 0
time 1685445126 431780, type 3, code 0, value 24584
time 1685445126 431780, type 0, code 0, value 0
time 1685445126 440112, type 3, code 0, value 25369
time 1685445126 440112, type 0, code 0, value 0
time 1685445126 447839, type 3, code 0, value 26222
time 1685445126 447839, type 3, code 1, value 35177
time 1685445126 447839, type 0, code 0, value 0
time 1685445126 457755, type 3, code 0, value 27553
time 1685445126 457755, type 3, code 1, value 35316
time 1685445126 457755, type 0, code 0, value 0
time 1685445126 463362, type 3, code 0, value 29533
time 1685445126 463362, type 3, code 1, value 35593
time 1685445126 463362, type 0, code 0, value 0
time 1685445126 473917, type 3, code 0, value 31513
time 1685445126 473917, type 0, code 0, value 0
time 1685445126 482864, type 3, code 0, value 32673
time 1685445126 482864, type 3, code 1, value 35732
time 1685445126 482864, type 0, code 0, value 0
time 1685445126 490789, type 3, code 0, value 34687
time 1685445126 490789, type 3, code 1, value 35940
time 1685445126 490789, type 0, code 0, value 0
time 1685445126 497679, type 3, code 0, value 36735
time 1685445126 497679, type 0, code 0, value 0
time 1685445126 505684, type 3, code 0, value 37930
time 1685445126 505684, type 3, code 1, value 36078
time 1685445126 505684, type 0, code 0, value 0
time 1685445126 513492, type 3, code 0, value 39329
time 1685445126 513492, type 0, code 0, value 0
time 1685445126 521692, type 3, code 0, value 40626
time 1685445126 521692, type 3, code 1, value 36217
time 1685445126 521692, type 0, code 0, value 0
time 1685445126 529698, type 3, code 0, value 41445
time 1685445126 529698, type 0, code 0, value 0
time 1685445126 538299, type 3, code 0, value 41957
time 1685445126 538299, type 3, code 1, value 36286
time 1685445126 538299, type 0, code 0, value 0
time 1685445126 545530, type 3, code 0, value 42264
time 1685445126 545530, type 3, code 1, value 36356
time 1685445126 545530, type 0, code 0, value 0
time 1685445126 553789, type 3, code 0, value 42435
time 1685445126 553789, type 3, code 1, value 36425
time 1685445126 553789, type 0, code 0, value 0
time 1685445126 561750, type 3, code 0, value 42469
time 1685445126 561750, type 0, code 0, value 0
time 1685445126 586364, type 3, code 0, value 42435
time 1685445126 586364, type 0, code 0, value 0
time 1685445126 593448, type 3, code 0, value 42367
time 1685445126 593448, type 0, code 0, value 0
time 1685445126 601794, type 3, code 0, value 42094
time 1685445126 601794, type 3, code 1, value 36495
time 1685445126 601794, type 0, code 0, value 0
time 1685445126 609712, type 3, code 0, value 41684
time 1685445126 609712, type 3, code 1, value 36633
time 1685445126 609712, type 0, code 0, value 0
time 1685445126 617835, type 3, code 0, value 41275
time 1685445126 617835, type 3, code 1, value 36703
time 1685445126 617835, type 0, code 0, value 0
time 1685445126 625883, type 3, code 0, value 41002
time 1685445126 625883, type 0, code 0, value 0
time 1685445126 634720, type 3, code 0, value 40558
time 1685445126 634720, type 0, code 0, value 0
time 1685445126 641782, type 3, code 0, value 40046
time 1685445126 641782, type 0, code 0, value 0
time 1685445126 650633, type 3, code 0, value 39739
time 1685445126 650633, type 0, code 0, value 0
time 1685445126 657793, type 3, code 0, value 39636
time 1685445126 657793, type 0, code 0, value 0
time 1685445126 665731, type 3, code 0, value 39534
time 1685445126 665731, type 0, code 0, value 0
time 1685445126 673431, type 3, code 0, value 39500
time 1685445126 673431, type 0, code 0, value 0
time 1685445127 610199, type 3, code 0, value 39466
time 1685445127 610199, type 0, code 0, value 0
time 1685445127 616606, type 3, code 0, value 39397
